Name,HourlyRate,MonthlyBaseRate,RiceAllowance,PhoneAllowance,ClothingAllowance,06/03/2024,06/10/2024,06/17/2024,06/24/2024,07/01/2024,07/08/2024,07/15/2024,07/22/2024,07/29/2024,08/05/2024,08/12/2024,08/19/2024,08/26/2024,09/02/2024,09/09/2024,09/16/2024,09/23/2024,09/30/2024,10/07/2024,10/14/2024,10/21/2024,10/28/2024,11/04/2024,11/11/2024,11/18/2024,11/25/2024,12/02/2024,12/09/2024,12/16/2024,12/23/2024,12/30/2024
Anthony Salcedo,302.53,50825,1500.00,1000.00,1000.00,42.08,39.73,38.82,40.83,39.48,41.42,39.43,39.98,38.08,37.02,42.37,36.92,35.47,42.30,37.68,36.87,42.40,36.53,37.90,33.78,42.17,41.78,41.00,41.22,38.73,35.48,36.55,40.52,39.93,38.07,14.08
Josie  Lopez,229.02,38475,1500.00,800.00,800.00,38.60,36.07,40.03,39.98,43.00,38.22,37.33,40.58,34.27,41.00,44.42,39.08,38.85,46.05,39.35,38.68,39.20,37.27,38.67,39.57,38.30,33.82,41.27,40.75,39.05,37.25,41.20,44.57,40.42,39.60,18.77
Martha Farala,142.86,24000,1500.00,500.00,500.00,39.70,40.17,44.80,41.52,37.62,41.92,36.12,37.60,39.42,42.68,38.60,38.25,36.40,38.38,38.78,42.90,36.68,38.57,42.22,43.88,41.23,41.87,43.65,39.98,42.00,40.28,41.50,34.03,37.87,34.93,16.50
Leila Martinez,142.86,24000,1500.00,500.00,500.00,38.47,46.73,40.67,38.42,39.85,42.15,42.55,41.08,33.83,39.63,35.87,37.07,39.30,40.85,40.03,38.17,36.25,43.32,43.25,43.80,43.03,42.67,35.40,39.88,39.28,38.23,40.37,40.70,41.57,40.02,17.43
Fredrick  Romualdez,318.45,53500,1500.00,1000.00,1000.00,43.57,40.00,43.65,41.03,40.65,38.55,41.15,40.98,41.70,39.25,41.98,37.62,37.60,41.18,42.03,40.77,37.42,38.50,38.37,39.60,40.42,39.23,41.02,39.83,38.18,38.98,41.12,38.90,38.40,40.13,17.83
Christian Mata,255.80,42975,1500.00,800.00,800.00,37.87,39.25,43.45,41.80,39.10,40.02,42.42,41.90,42.83,41.90,38.70,40.20,41.72,41.63,38.40,39.37,42.62,37.17,40.77,38.58,34.05,41.68,42.80,39.42,31.98,38.55,44.35,34.77,43.70,40.82,16.38
Selena  De Leon,249.11,41850,1500.00,800.00,800.00,38.10,38.57,39.98,39.75,39.55,44.05,43.55,41.33,41.65,40.92,41.32,36.90,39.05,42.63,36.55,34.93,43.30,39.95,38.28,35.85,44.35,45.13,41.05,40.50,41.45,43.27,39.45,40.53,39.12,38.32,14.77
Allison  San Jose,133.93,22500,1500.00,500.00,500.00,39.68,38.23,45.02,41.00,42.25,41.00,44.57,41.95,38.97,39.45,33.12,44.15,40.07,36.52,36.80,37.72,39.78,39.37,41.70,36.28,39.28,39.25,36.50,39.05,38.32,34.17,46.10,40.57,35.92,38.55,16.68
Cydney  Rosario,133.93,22500,1500.00,500.00,500.00,39.17,42.50,34.53,39.40,38.20,42.03,39.65,39.03,44.43,40.48,38.45,36.62,38.00,43.65,38.53,41.33,38.72,37.30,37.05,41.38,36.67,34.08,42.70,37.07,39.22,40.47,40.52,38.78,39.53,37.28,16.78
Mark  Bautista,138.39,23250,1500.00,500.00,500.00,39.93,36.47,40.92,40.32,40.12,38.02,41.67,38.92,42.28,38.30,37.42,39.02,42.13,37.72,39.63,42.80,39.55,37.57,39.22,38.75,42.10,40.95,44.77,40.23,37.75,39.72,39.20,39.38,38.55,38.15,16.02
Darlene  Lazaro,138.39,23250,1500.00,500.00,500.00,40.65,38.90,40.78,41.55,41.70,36.22,39.83,42.53,37.33,41.25,47.65,37.43,42.62,39.27,41.72,41.43,34.45,43.60,41.37,41.98,40.63,35.02,37.25,35.88,38.90,45.25,43.32,42.90,39.07,42.85,17.03
Kolby  Delos Santos,142.86,24000,1500.00,500.00,500.00,40.32,37.73,40.30,39.93,37.75,40.83,38.90,38.47,44.38,38.65,42.05,40.53,41.00,45.82,40.28,39.17,42.27,40.03,37.25,37.82,36.47,36.83,43.97,38.73,44.42,39.28,37.77,38.83,39.43,40.38,17.23
Vella  Santos,133.93,22500,1500.00,500.00,500.00,42.22,40.48,36.43,38.48,38.78,36.78,40.22,37.95,40.63,40.78,38.50,36.65,33.05,36.73,36.10,41.03,40.40,39.97,39.48,40.53,42.07,41.35,38.78,40.62,38.37,40.32,37.05,39.33,38.78,38.05,15.60
Tomas Del Rosario,133.93,22500,1500.00,500.00,500.00,39.25,38.20,40.37,42.70,41.07,38.87,42.62,38.47,42.48,45.17,40.87,43.70,34.72,37.90,35.27,43.80,44.22,40.70,37.98,40.12,35.08,44.15,42.53,37.97,33.90,40.50,36.07,42.57,34.52,37.87,17.95
Jacklyn  Tolentino,142.86,24000,1500.00,500.00,500.00,35.73,41.65,35.68,35.37,41.93,38.80,34.47,38.92,41.95,40.05,36.95,42.60,38.72,35.82,42.57,38.13,38.18,38.07,38.58,36.23,39.48,43.72,47.47,34.75,41.38,41.33,41.03,39.70,43.02,42.45,17.97
Percival  Gutierrez,147.32,24750,1500.00,500.00,500.00,39.70,39.48,39.23,41.63,43.92,41.42,34.33,40.78,43.53,44.28,39.20,36.55,42.62,41.13,42.88,44.77,39.20,40.55,40.98,42.72,40.83,33.00,34.03,40.53,39.77,43.98,42.73,40.92,39.85,38.25,17.03
Garfield  Manalaysay,147.32,24750,1500.00,500.00,500.00,40.95,38.78,41.42,42.15,42.37,41.93,36.15,41.63,38.05,37.73,36.27,40.03,34.75,35.60,38.02,34.90,36.92,38.00,42.92,39.33,37.08,39.50,39.63,41.50,40.92,36.53,39.62,40.08,41.57,37.45,13.07
Lizeth  Villegas,142.86,24000,1500.00,500.00,500.00,42.42,39.53,42.30,34.03,38.37,41.70,41.95,38.55,40.08,44.30,41.63,37.10,39.08,35.43,40.32,41.70,37.15,39.47,38.95,39.55,40.35,34.32,34.60,40.83,42.03,38.52,37.75,43.17,39.33,37.67,16.53
Carol  Ramos,133.93,22500,1500.00,500.00,500.00,42.23,39.78,41.37,39.17,43.92,42.40,41.97,40.40,42.12,42.78,42.18,41.50,38.53,34.95,35.33,38.55,37.23,37.10,40.15,41.28,35.62,39.50,40.98,36.57,39.65,39.63,39.98,44.30,40.60,38.15,17.48
Emelia  Maceda,133.93,22500,1500.00,500.00,500.00,40.38,38.73,39.67,40.08,33.80,39.90,38.70,41.43,38.47,40.77,38.37,45.45,38.77,46.03,38.62,39.17,35.18,39.33,43.48,41.83,37.33,36.02,45.40,43.10,39.08,43.13,42.23,40.57,40.43,41.03,17.07
Delia  Aguilar,133.93,22500,1500.00,500.00,500.00,38.27,43.95,41.90,40.03,38.97,39.60,36.17,38.67,39.27,41.87,38.87,41.15,48.15,38.00,39.47,41.40,36.50,43.02,35.60,43.73,41.57,44.05,39.25,39.70,37.30,41.27,38.40,39.52,40.65,37.68,12.25
John Rafael Castro,313.51,52670,1500.00,1000.00,1000.00,40.47,43.27,37.12,39.68,38.18,37.37,45.72,38.35,41.95,39.83,37.65,40.83,35.92,44.40,36.63,39.18,39.13,35.87,37.02,42.40,41.80,43.67,39.58,43.13,39.23,41.67,38.03,40.25,36.68,38.43,15.47
Carlos Ian Martinez,313.51,52670,1500.00,1000.00,1000.00,39.28,42.65,36.40,38.20,37.27,40.10,41.60,39.92,40.07,38.80,38.42,35.90,36.98,38.77,41.05,39.03,37.12,40.62,37.75,43.12,43.48,36.27,42.68,35.12,39.97,42.40,44.83,37.05,46.02,36.50,18.40
Beatriz Santos,313.51,52670,1500.00,1000.00,1000.00,40.40,38.25,37.10,44.73,39.07,38.42,39.30,40.18,38.92,41.13,35.37,36.57,38.12,43.05,42.28,40.22,44.15,40.42,38.78,40.82,42.45,44.37,44.55,41.93,38.18,38.90,43.85,47.30,36.95,41.87,14.47
